,index,accuracy,loss
0,1.0,0.6111111044883728,0.801620364189148
1,1.0,0.5370370149612427,0.9323420524597168
2,1.0,0.5370370149612427,0.8102253079414368
3,1.0,0.6851851940155029,0.771500289440155
4,1.0,0.5925925970077515,0.8316277861595154
5,1.0,0.5740740895271301,0.7822938561439514
6,1.0,0.6481481194496155,0.7448462247848511
7,1.0,0.6111111044883728,0.7856819033622742
8,1.0,0.5925925970077515,0.8450774550437927
9,1.0,0.6851851940155029,0.6919296979904175
10,1.0,0.5740740895271301,0.7486716508865356
11,1.0,0.6481481194496155,0.6628028154373169
12,1.0,0.6666666865348816,0.5720096230506897
13,1.0,0.7037037014961243,0.5698908567428589
14,1.0,0.5925925970077515,0.6357994675636292
15,1.0,0.7222222089767456,0.582003653049469
16,1.0,0.6296296119689941,0.6511666774749756
17,1.0,0.7037037014961243,0.621807873249054
18,1.0,0.8333333134651184,0.44252899289131165
19,1.0,0.6111111044883728,0.7045109272003174
20,1.0,0.6851851940155029,0.5689024329185486
21,1.0,0.7222222089767456,0.5356990694999695
22,1.0,0.7037037014961243,0.5512391328811646
23,1.0,0.6481481194496155,0.6610076427459717
24,1.0,0.6111111044883728,0.5825859904289246
25,1.0,0.6851851940155029,0.629159688949585
26,1.0,0.6481481194496155,0.5580140352249146
27,1.0,0.7592592835426331,0.520990252494812
28,2.0,0.8148148059844971,0.5006858110427856
29,2.0,0.8703703880310059,0.35528111457824707
30,2.0,0.9444444179534912,0.3214517831802368
31,2.0,0.8518518805503845,0.3542192876338959
32,2.0,0.9259259104728699,0.3684437572956085
33,2.0,0.8888888955116272,0.27440449595451355
34,2.0,0.7777777910232544,0.4295355975627899
35,2.0,0.8703703880310059,0.3464277684688568
36,2.0,0.8703703880310059,0.3549566864967346
37,2.0,0.8518518805503845,0.3508615493774414
38,2.0,0.8333333134651184,0.3157525658607483
39,2.0,0.8518518805503845,0.325989305973053
40,2.0,0.8703703880310059,0.23098637163639069
41,2.0,0.8888888955116272,0.2698918879032135
42,3.0,0.7962962985038757,0.420730322599411
43,3.0,0.8518518805503845,0.4676930606365204
44,3.0,0.8703703880310059,0.3454146087169647
45,3.0,0.7962962985038757,0.34039878845214844
46,3.0,0.8518518805503845,0.333370566368103
47,3.0,0.7962962985038757,0.43414443731307983
48,3.0,0.8333333134651184,0.35698971152305603
49,3.0,0.8148148059844971,0.4590446352958679
50,3.0,0.7777777910232544,0.5248197913169861
51,3.0,0.8333333134651184,0.3340115249156952
52,3.0,0.8888888955116272,0.28343990445137024
53,3.0,0.8703703880310059,0.3194230794906616
54,3.0,0.8703703880310059,0.3393229842185974
55,3.0,0.8333333134651184,0.3173385560512543
56,3.0,0.7962962985038757,0.5031358003616333
57,3.0,0.8333333134651184,0.4437355399131775
58,3.0,0.7962962985038757,0.47971704602241516
59,3.0,0.7592592835426331,0.49300768971443176
60,3.0,0.8148148059844971,0.3590129613876343
61,3.0,0.8333333134651184,0.3847953975200653
62,3.0,0.8518518805503845,0.3827989399433136
63,3.0,0.7592592835426331,0.4670373797416687
64,3.0,0.8333333134651184,0.3981646001338959
65,3.0,0.7222222089767456,0.44031015038490295
66,3.0,0.8148148059844971,0.4416109025478363
67,3.0,0.8148148059844971,0.4565783143043518
68,3.0,0.8148148059844971,0.4022323787212372
69,3.0,0.8703703880310059,0.3216906189918518
70,4.0,0.7962962985038757,0.420730322599411
71,4.0,0.8518518805503845,0.4676930606365204
72,4.0,0.8703703880310059,0.3454146087169647
73,4.0,0.7962962985038757,0.34039878845214844
74,4.0,0.8518518805503845,0.333370566368103
75,4.0,0.7962962985038757,0.43414443731307983
76,4.0,0.8333333134651184,0.35698971152305603
77,4.0,0.8148148059844971,0.4590446352958679
78,4.0,0.7777777910232544,0.5248197913169861
79,4.0,0.8333333134651184,0.3340115249156952
80,4.0,0.8888888955116272,0.28343990445137024
81,4.0,0.8703703880310059,0.3194230794906616
82,4.0,0.8703703880310059,0.3393229842185974
83,4.0,0.8333333134651184,0.3173385560512543
84,6.0,0.8703703880310059,0.37256935238838196
85,6.0,0.8988888955116272,0.2316279113292694
86,6.0,0.8888888955116272,0.13175998628139496
87,6.0,0.9444444179534912,0.13107825815677643
88,6.0,0.9629629850387573,0.13519130647182465
89,6.0,0.9629629850387573,0.07143880426883698
90,8.0,0.9444444179534912,0.17739315330982208
91,8.0,0.9259259104728699,0.2352445274591446
92,8.0,0.9074074029922485,0.2734508812427521
93,8.0,1.0,0.08860679715871811
94,8.0,0.9444444179534912,0.2259199023246765
95,8.0,0.9259259104728699,0.20346860587596893
96,8.0,0.9444444179534912,0.1570909321308136
97,8.0,0.8888888955116272,0.1773357093334198
98,8.0,0.9629629850387573,0.1479807198047638
99,8.0,0.9629629850387573,0.10151643306016922
100,8.0,0.9814814925193787,0.10038632154464722
101,8.0,0.9444444179534912,0.16481231153011322
102,8.0,1.0,0.09572231024503708
103,8.0,0.9074074029922485,0.17922580242156982
